time,zu1_xy,y,x,wspeed_10m*_xy
0 days 14:59:59,6.0,84.0,1284.0,1.8617098
0 days 14:59:59,6.0,84.0,1308.0,2.0199063
0 days 14:59:59,6.0,84.0,1332.0,2.3494883
0 days 14:59:59,6.0,84.0,1356.0,2.898568
0 days 14:59:59,6.0,84.0,1380.0,2.975672
0 days 14:59:59,6.0,84.0,1404.0,2.8123145
0 days 14:59:59,6.0,84.0,1428.0,1.1939434
0 days 14:59:59,6.0,84.0,1452.0,1.2240889
0 days 14:59:59,6.0,84.0,1476.0,2.0166876
0 days 14:59:59,6.0,84.0,1500.0,2.011972
0 days 14:59:59,6.0,84.0,1524.0,1.8405786
0 days 14:59:59,6.0,84.0,1548.0,0.9534516
0 days 14:59:59,6.0,84.0,1572.0,1.7671634
0 days 14:59:59,6.0,84.0,1596.0,1.5440922
0 days 14:59:59,6.0,84.0,1620.0,1.1170886
0 days 14:59:59,6.0,84.0,1644.0,1.0915946
0 days 14:59:59,6.0,84.0,1668.0,1.2902739
0 days 14:59:59,6.0,84.0,1692.0,2.5104594
0 days 14:59:59,6.0,84.0,1716.0,2.4545903
0 days 14:59:59,6.0,84.0,1740.0,1.395524
0 days 14:59:59,6.0,84.0,1764.0,2.371696
0 days 14:59:59,6.0,84.0,1788.0,2.5846431
0 days 14:59:59,6.0,84.0,1812.0,2.7143848
0 days 14:59:59,6.0,84.0,1836.0,2.7265007
0 days 14:59:59,6.0,84.0,1860.0,2.768254
0 days 14:59:59,6.0,84.0,1884.0,2.8393855
0 days 14:59:59,6.0,84.0,1908.0,2.969302
0 days 14:59:59,6.0,84.0,1932.0,2.5562968
0 days 14:59:59,6.0,84.0,1956.0,1.4448651
0 days 14:59:59,6.0,84.0,1980.0,1.6192894
0 days 14:59:59,6.0,84.0,2004.0,2.7146494
0 days 14:59:59,6.0,84.0,2028.0,2.8197606
0 days 14:59:59,6.0,84.0,2052.0,1.3019035
0 days 14:59:59,6.0,84.0,2076.0,2.6138735
0 days 14:59:59,6.0,84.0,2100.0,2.341791
0 days 14:59:59,6.0,84.0,2124.0,1.3990997
0 days 14:59:59,6.0,84.0,2148.0,2.349698
0 days 14:59:59,6.0,84.0,2172.0,2.4322102
0 days 14:59:59,6.0,84.0,2196.0,2.5234904
0 days 14:59:59,6.0,84.0,2220.0,2.0005367
0 days 14:59:59,6.0,84.0,2244.0,2.0468712
0 days 14:59:59,6.0,84.0,2268.0,1.779253
0 days 14:59:59,6.0,84.0,2292.0,1.3550953
0 days 14:59:59,6.0,84.0,2316.0,1.2797669
0 days 14:59:59,6.0,84.0,2340.0,1.7515237
0 days 14:59:59,6.0,84.0,2364.0,1.7402531
0 days 14:59:59,6.0,84.0,2388.0,1.3351245
0 days 14:59:59,6.0,84.0,2412.0,1.4053875
0 days 14:59:59,6.0,84.0,2436.0,0.9214985
0 days 14:59:59,6.0,84.0,2460.0,2.3314016
